,overall
125732,63
70891,66
101818,69
84586,69
92081,61
78371,53
10464,60
71867,65
114377,81
26055,60
29759,81
84167,69
31742,74
54667,65
55834,64
5670,66
123818,65
38251,65
111717,58
90429,63
94599,56
84789,69
116590,73
116381,73
71396,65
73835,63
95879,51
58161,62
97357,76
177,81
42754,59
45341,51
9481,61
103693,67
100256,71
22330,65
68104,69
113196,53
51349,69
73224,64
87974,66
106983,64
13154,55
52325,68
60686,57
117228,72
40514,63
44151,56
92519,61
23474,64
126065,63
56995,63
41947,61
60177,58
102739,68
17170,73
43960,56
47248,75
92351,61
103519,67
24277,63
130248,57
56958,63
105398,65
73127,64
69783,67
102002,69
104076,66
64231,75
7469,64
118318,71
16654,74
26524,59
115132,77
45301,51
40575,63
15299,80
91300,62
96624,79
44138,56
89827,64
25996,60
90313,63
76606,58
836,75
88235,65
72479,64
42871,59
5239,66
130034,57
31522,74
80627,75
125215,64
56689,63
51674,68
25761,61
54678,65
53391,67
73088,64
73230,64
27325,58
59118,60
12199,57
72551,64
109788,61
85709,68
55819,64
18938,69
84130,70
59044,60
14678,50
120356,68
79966,77
61659,54
70935,66
34817,69
26604,59
24263,63
35212,69
19889,68
24058,63
65823,72
4294,67
19918,68
123878,65
1033,75
105686,65
1784,72
81417,73
19111,69
113091,54
79794,78
48976,72
77897,55
37934,66
120887,68
47660,74
113268,53
109061,62
24859,62
51683,68
85844,68
107331,63
110671,60
130046,57
128498,60
80332,76
79089,83
67612,70
31364,74
3870,68
127512,61
23340,64
74719,62
66284,71
35126,69
55270,65
18338,70
65780,72
125637,63
37935,66
62874,80
115269,76
32049,73
116978,72
83242,71
108978,62
18385,70
14667,50
120206,68
56309,64
50465,70
104113,66
23632,64
111531,58
12005,58
96236,84
81463,73
94440,57
94997,55
6203,65
58497,61
4142,68
118788,70
126340,63
66153,71
30550,76
35282,68
97691,75
81068,74
106953,64
123182,65
37089,67
63994,75
77889,55
85127,68
64488,74
49798,71
116500,73
59618,59
67849,69
66021,72
68663,68
1082,74
8448,62
20331,68
51507,69
120145,68
96084,48
95672,52
98094,74
48509,73
20747,67
91508,62
34593,69
29931,79
5387,66
62429,47
100898,70
2246,71
37217,66
7488,64
100787,70
12934,56
37518,66
69016,68
117530,72
38306,65
192,81
123705,65
64509,74
7186,64
128057,61
27611,57
36763,67
94113,58
15566,78
90307,63
97624,75
44186,56
52258,68
77013,57
25794,61
78964,87
13268,55
94295,57
70579,66
31916,73
75412,61
33923,70
122427,66
5579,66
19651,68
71785,65
108757,62
46990,76
93567,59
78510,52
97678,75
31112,75
89074,65
3538,69
65502,72
76475,59
93746,58
63486,77
127837,61
2720,70
121479,67
8527,62
25521,61
104764,66
68661,68
74038,63
48333,73
35623,68
44154,56
67103,70
88436,65
88192,65
76978,58
129060,59
49400,71
130527,56
110150,60
130459,56
